iteration,actor_loss,critic_loss,entropy,mean_return,mean_advantage,buffer_steps,eval_success_rate,eval_collision_rate,eval_timeout_rate,eval_avg_return,eval_avg_episode_length
1,-0.01255637127906084,2376.0439453125,1.4201124906539917,-40.69161605834961,-3.5762786065873797e-09,50,,,,,
2,-0.021838106215000153,3111.45556640625,1.4215292930603027,-49.37599563598633,0.0,50,,,,,
3,-0.012492859736084938,1800.8590087890625,1.4230531454086304,-35.37650680541992,-9.53674295089968e-09,50,,,,,
4,-0.003668985329568386,2643.69287109375,1.4243017435073853,-32.40620803833008,3.457069297496673e-08,50,,,,,
5,-0.011880836449563503,3764.8310546875,1.4252978563308716,-55.66969680786133,1.0490417423625331e-07,50,,,,,
6,-0.0045973253436386585,3778.005615234375,1.4266160726547241,-55.46944808959961,5.841255301675119e-08,50,,,,,
7,-0.008720784448087215,2610.28125,1.4279981851577759,-46.7166748046875,1.01327898960335e-07,50,,,,,
8,-0.004034740850329399,3148.91064453125,1.4293968677520752,-54.06611251831055,-3.933906711495183e-08,50,,,,,
9,-0.00937166903167963,3780.878173828125,1.4308968782424927,-60.3138427734375,1.4305114426349519e-08,50,,,,,
10,-0.010176134295761585,3053.29833984375,1.4321142435073853,-51.37001037597656,1.4305115314527939e-07,50,0.0,0.0,1.0,-38.868583551049234,60.0
11,-0.0002133679372491315,4798.458984375,1.4331862926483154,-68.65222930908203,-1.6450881901164394e-07,50,,,,,
12,-0.01109199970960617,4344.99560546875,1.4341315031051636,-64.24205780029297,-2.121925319897855e-07,50,,,,,
13,-0.012613949365913868,2129.0390625,1.4340516328811646,-42.71952819824219,-7.1525572131747595e-09,50,,,,,
14,-0.007410845719277859,4447.46484375,1.4333497285842896,-66.87979125976562,1.8835068260614207e-07,50,,,,,
15,-0.0020785522647202015,1197.9102783203125,1.433090329170227,-22.262426376342773,-2.801418297337932e-08,50,,,,,
16,-0.0018517113057896495,11188.322265625,1.4329649209976196,9.269947052001953,1.1026859425555813e-08,50,,,,,
17,-0.002170777413994074,20020.8828125,1.4328402280807495,72.096923828125,-4.5895575340182404e-08,50,,,,,
18,-0.0034794164821505547,2558.38525390625,1.4333022832870483,-48.4173698425293,1.633167272530045e-07,50,,,,,
19,-0.0021991156972944736,1023.849853515625,1.4344667196273804,-15.834078788757324,2.6226043559063328e-08,50,,,,,
20,-0.003065357217565179,1607.076904296875,1.4358335733413696,-36.3526496887207,-3.099441414633475e-08,50,0.0,0.0,1.0,81.5189148336649,60.0
21,-0.008684873580932617,2003.524658203125,1.4370619058609009,-42.06792449951172,-7.152557657263969e-08,50,,,,,
22,-7.357597496593371e-05,535.9265747070312,1.4380593299865723,-2.535531520843506,3.665685710529942e-08,50,,,,,
23,-0.003680415218695998,1629.3831787109375,1.438927412033081,-33.31846237182617,-1.2040138130942069e-07,50,,,,,
24,-0.01816045679152012,4789.298828125,1.4400233030319214,-68.56828308105469,-1.5139579545575543e-07,50,,,,,
25,-0.017027584835886955,3666.1572265625,1.4412111043930054,-62.42091751098633,4.0531158873591266e-08,50,,,,,
26,-0.003536653472110629,2767.113525390625,1.4419599771499634,-54.592559814453125,-1.0728835775353218e-07,50,,,,,
27,-0.010164130479097366,2790.139892578125,1.4423447847366333,-53.63059616088867,9.059905892172537e-08,50,,,,,
28,-0.001961388625204563,2784.06005859375,1.4424585103988647,-54.595829010009766,-1.5616416249031317e-07,50,,,,,
29,-0.000998263363726437,1974.6337890625,1.442600965499878,-42.68129348754883,1.5497207073167374e-07,50,,,,,
30,-0.005727429408580065,2199.288818359375,1.4433677196502686,-46.954200744628906,-4.410743770222325e-08,50,0.0,0.0,1.0,-42.140841263532636,60.0
31,-0.0018932485254481435,865.1246337890625,1.4442267417907715,-6.738762855529785,5.364418242947977e-09,50,,,,,
32,-0.009931518696248531,1856.4710693359375,1.4451321363449097,-44.79313659667969,-8.34465012644614e-08,50,,,,,
33,-0.0014204144245013595,3265.7880859375,1.446442723274231,-58.63516616821289,-1.7166138377433526e-07,50,,,,,
34,-0.008037677966058254,1333.5537109375,1.4476279020309448,-39.257816314697266,-8.583069188716763e-08,50,,,,,
35,-0.0020254659466445446,4162.77490234375,1.4487266540527344,-68.00733184814453,-7.5101851848558e-08,50,,,,,
36,-0.009567184373736382,8400.41796875,1.4500519037246704,29.202547073364258,2.592802061940347e-08,50,,,,,
37,-0.006860279943794012,1531.3699951171875,1.4513970613479614,-39.400081634521484,-2.1457672971791908e-08,50,,,,,
38,-0.0019297599792480469,3597.132568359375,1.4526792764663696,-64.6808090209961,2.121925319897855e-07,50,,,,,
39,-0.003736162092536688,788.1359252929688,1.4540724754333496,0.39393481612205505,3.5762786065873797e-09,50,,,,,
40,-0.0015009928029030561,637.9918212890625,1.455100417137146,-4.807893753051758,-1.1026859425555813e-08,50,0.0,0.4,0.6,-16.49120347648859,57.5
41,-0.011695673689246178,1338.471435546875,1.4557311534881592,-36.91252136230469,-2.8610228852699038e-08,50,,,,,
42,-0.0022922991774976254,2444.827392578125,1.4564552307128906,-8.488542556762695,-1.0132789718397817e-08,50,,,,,
43,-0.0013647031737491488,878.3134155273438,1.4569777250289917,-26.83367919921875,-7.98702259885431e-08,50,,,,,
44,-0.0013390416279435158,947.1119384765625,1.4572819471359253,-29.755477905273438,-4.7683716530855236e-08,50,,,,,
45,-0.001328640035353601,653.181396484375,1.457715630531311,-17.072826385498047,-2.086162531611535e-08,50,,,,,
