iteration,actor_loss,critic_loss,entropy,mean_return,mean_advantage,buffer_steps,eval_success_rate,eval_collision_rate,eval_timeout_rate,eval_avg_return,eval_avg_episode_length
1,-1.043081283569336e-07,22.530664443969727,1.4189385175704956,4.600877285003662,1.1324882365215672e-07,20,,,,,
2,5.9604645663569045e-09,6.343382835388184,1.419938564300537,0.3801482617855072,-5.9604645663569045e-09,20,,,,,
3,-0.0,8.81688117980957,1.4208382368087769,1.2568119764328003,-1.7881394143159923e-08,20,,,,,
4,-0.0,4.562981605529785,1.4210275411605835,0.6880699396133423,-1.7881394143159923e-08,20,,,,,
5,3.5762788286319847e-08,34.66419982910156,1.4208983182907104,6.0315423011779785,-3.5762788286319847e-08,20,0.0,0.0,1.0,3.7930066730827092,50.0
6,-3.5762788286319847e-08,14.21040153503418,1.4210494756698608,2.7211546897888184,4.17232506322307e-08,20,,,,,
7,1.4901161193847656e-08,23.47312355041504,1.4213303327560425,5.391226768493652,-1.1920929132713809e-08,20,,,,,
8,-1.0728835775353218e-07,21.97783851623535,1.421826958656311,5.256453037261963,8.34465012644614e-08,20,,,,,
9,4.17232506322307e-08,20.892192840576172,1.422339677810669,5.039190769195557,-3.5762788286319847e-08,20,,,,,
10,6.556511067401516e-08,32.334251403808594,1.4228919744491577,6.628113746643066,-7.748603536583687e-08,20,0.0,0.0,1.0,10.139840087294578,50.0
11,-5.960464477539063e-08,35.24976348876953,1.423372745513916,7.1280364990234375,6.556511067401516e-08,20,,,,,
12,-2.3841858265427618e-08,13.927639961242676,1.4237823486328125,4.3829545974731445,1.7881394143159923e-08,20,,,,,
13,2.9802322387695312e-08,21.700740814208984,1.4240684509277344,5.7646660804748535,-3.5762788286319847e-08,20,,,,,
14,-4.7683716530855236e-08,14.530921936035156,1.4242438077926636,5.347062110900879,7.152557657263969e-08,20,,,,,
15,-8.34465012644614e-08,15.316106796264648,1.424504041671753,5.674241065979004,7.152557657263969e-08,20,0.0,0.0,1.0,21.958302287757398,50.0
16,1.3113022134803032e-07,24.429576873779297,1.424983024597168,7.075994968414307,-1.1324882365215672e-07,20,,,,,
17,5.960464477539063e-08,15.217198371887207,1.4254660606384277,6.034065246582031,-5.960464477539063e-08,20,,,,,
18,2.2007868949458498e-07,2184.39990234375,1.425898790359497,-42.421146392822266,-1.971538239331494e-07,13,,,,,
19,4.17232506322307e-08,16.872556686401367,1.4262137413024902,6.62384557723999,-3.5762788286319847e-08,20,,,,,
20,3.4272670035306874e-08,7.990840911865234,1.4263757467269897,4.7517805099487305,0.0,20,0.0,0.1,0.9,0.9044696744531393,46.3
21,-1.1003934332620702e-06,2142.56201171875,1.4264158010482788,-42.23301315307617,1.1233182704017963e-06,13,,,,,
22,-4.17232506322307e-08,4.2909369468688965,1.42649245262146,1.9598958492279053,3.5762788286319847e-08,20,,,,,
23,4.7683716530855236e-08,32.260494232177734,1.4265738725662231,0.45197606086730957,-4.17232506322307e-08,20,,,,,
24,-1.1175870895385742e-07,11.704957962036133,1.426670789718628,4.9597954750061035,1.0728835775353218e-07,20,,,,,
25,-0.0,23.949378967285156,1.4268929958343506,2.6846842765808105,1.7881394143159923e-08,20,0.0,0.0,1.0,4.982614130526781,50.0
26,2.3841858265427618e-08,12.730570793151855,1.4271929264068604,5.1049394607543945,0.0,20,,,,,
27,-3.278255533700758e-08,11.368103981018066,1.427464246749878,5.149558067321777,4.17232506322307e-08,20,,,,,
28,5.845840291840432e-07,2150.509033203125,1.4277485609054565,-42.96933364868164,-5.822915341013868e-07,13,,,,,
29,6.854534007061375e-08,31.1212158203125,1.427882194519043,7.300053596496582,-5.364417887676609e-08,20,,,,,
30,-1.1920929132713809e-08,31.7207088470459,1.4279448986053467,1.9591419696807861,5.9604645663569045e-09,20,0.0,0.0,1.0,32.487176375091074,50.0
31,5.364417887676609e-08,14.478930473327637,1.428034782409668,3.6603660583496094,-4.7683716530855236e-08,20,,,,,
32,-4.17232506322307e-08,15.683309555053711,1.4280412197113037,3.9981110095977783,4.7683716530855236e-08,20,,,,,
33,-2.3841858265427618e-08,18.352914810180664,1.4281713962554932,5.6943559646606445,2.9802322387695312e-08,20,,,,,
34,3.278255533700758e-08,20.224529266357422,1.428174614906311,5.961428165435791,-1.7881394143159923e-08,20,,,,,
35,7.748603536583687e-08,22.731042861938477,1.4282140731811523,5.826444149017334,-8.940696716308594e-08,20,0.0,0.8,0.2,-31.16759690567851,20.3
36,1.4901161415892261e-09,15.704757690429688,1.4282677173614502,4.8161115646362305,5.9604645663569045e-09,20,,,,,
37,6.556511067401516e-08,12.083148002624512,1.42836594581604,3.9024605751037598,-7.152557657263969e-08,20,,,,,
38,7.152557657263969e-08,22.104156494140625,1.4283416271209717,6.069552421569824,-6.556511067401516e-08,20,,,,,
39,-2.5828680350059585e-07,2062.997802734375,1.4284471273422241,-42.66217803955078,2.7815499947791977e-07,12,,,,,
40,1.7881394143159923e-08,35.187198638916016,1.4287229776382446,7.161108493804932,-1.7881394143159923e-08,20,0.0,0.5,0.5,-17.374838313274086,31.1
41,-2.086162531611535e-08,3.336677074432373,1.4290580749511719,2.066432476043701,5.9604645663569045e-09,20,,,,,
42,-2.9802322831784522e-09,7.6959943771362305,1.4292542934417725,2.403489828109741,2.9802322831784522e-09,20,,,,,
43,1.1920929132713809e-08,17.435110092163086,1.429517388343811,4.539434909820557,0.0,20,,,,,
44,5.9604645663569045e-09,5.922568321228027,1.4297502040863037,2.2825236320495605,-1.1920929132713809e-08,20,,,,,
45,-7.301568984985352e-07,2052.678955078125,1.4300042390823364,-42.78596115112305,7.549921861027542e-07,12,0.0,0.3,0.7,-8.276777609810233,38.7
46,2.533197474008375e-08,36.45741271972656,1.4302228689193726,7.023137092590332,-1.7881394143159923e-08,20,,,,,
47,5.9604645663569045e-09,15.025688171386719,1.4301321506500244,3.893711805343628,-1.1920929132713809e-08,20,,,,,
48,-4.470348358154297e-08,34.379844665527344,1.4300438165664673,6.728607177734375,4.17232506322307e-08,20,,,,,
49,3.8743017682918435e-08,24.228845596313477,1.43009352684021,5.212984561920166,-5.364417887676609e-08,20,,,,,
50,3.5762788286319847e-08,35.827880859375,1.4300116300582886,6.668821811676025,-3.5762788286319847e-08,20,0.0,0.3,0.7,-8.512217899784446,38.9
