scenario,episode_id,success,collision,timeout,episode_return,episode_length
head_on,0,False,True,False,-39.930827885866165,13
head_on,1,False,True,False,-40.676363825798035,12
head_on,2,False,False,True,5.77555925399065,50
head_on,3,False,True,False,-40.63550341129303,12
head_on,4,False,True,False,-40.6676319539547,12
head_on,5,False,True,False,-40.63263013958931,12
head_on,6,False,True,False,-39.91785952448845,13
head_on,7,False,True,False,-39.88683995604515,13
head_on,8,False,False,True,5.565270944498479,50
head_on,9,False,True,False,-40.62387591600418,12
head_on,10,False,False,True,6.302632166072726,50
head_on,11,False,False,True,6.044892571866512,50
head_on,12,False,False,True,5.6653868034482,50
head_on,13,False,False,True,6.183888832107186,50
head_on,14,False,True,False,-39.875982254743576,13
head_on,15,False,True,False,-39.908073008060455,13
head_on,16,False,False,True,6.441025447100401,50
head_on,17,False,True,False,-39.87511244416237,13
head_on,18,False,True,False,-40.609090745449066,12
head_on,19,False,True,False,-39.86620584130287,13
crossing,0,False,True,False,-40.81117558479309,12
crossing,1,False,False,True,26.41949889063835,50
crossing,2,False,True,False,-41.503471702337265,11
crossing,3,False,False,True,25.48702517338097,50
crossing,4,False,False,True,26.14732388034463,50
crossing,5,False,True,False,-40.79599443078041,12
crossing,6,False,True,False,-40.68579310178757,12
crossing,7,False,False,True,25.96639470104128,50
crossing,8,False,True,False,-40.76183244585991,12
crossing,9,False,False,True,25.9653822472319,50
crossing,10,False,True,False,-41.46520680189133,11
crossing,11,False,False,True,25.7765699820593,50
crossing,12,False,False,True,36.211940788663924,50
crossing,13,False,False,True,26.182381600141525,50
crossing,14,False,False,True,26.571015977300704,50
crossing,15,False,False,True,25.6420741584152,50
crossing,16,False,True,False,-40.69494813680649,12
crossing,17,False,True,False,-40.699474185705185,12
crossing,18,False,False,True,25.69850977975875,50
crossing,19,False,True,False,-40.703778594732285,12
overtaking,0,False,False,True,34.157001595944166,50
overtaking,1,False,False,True,24.5483552031219,50
overtaking,2,False,False,True,26.22981026675552,50
overtaking,3,False,False,True,26.379274329170585,50
overtaking,4,False,False,True,26.736469755880535,50
overtaking,5,False,False,True,36.4393644426018,50
overtaking,6,False,False,True,26.18742567114532,50
overtaking,7,False,False,True,36.639013685286045,50
overtaking,8,False,False,True,26.77381361555308,50
overtaking,9,False,False,True,23.750091816298664,50
overtaking,10,False,False,True,34.02460628654808,50
overtaking,11,False,False,True,26.800335735082626,50
overtaking,12,False,False,True,34.75078880507499,50
overtaking,13,False,False,True,36.36348470672965,50
overtaking,14,False,False,True,36.14640029333532,50
overtaking,15,False,False,True,23.892674207687378,50
overtaking,16,False,False,True,24.698606855235994,50
overtaking,17,False,False,True,25.86408021207899,50
overtaking,18,False,False,True,24.422607507556677,50
overtaking,19,False,False,True,24.053203633986413,50
